amfi_code,date,nav,nav
100016,2022-01-03,520.4608,520.4608
100016,2022-01-04,515.0971,515.0971
100016,2022-01-05,521.7239,521.7239
100016,2022-01-06,515.788,515.788
100016,2022-01-07,515.1639,515.1639
100016,2022-01-10,510.7136,510.7136
100016,2022-01-11,513.5542,513.5542
100016,2022-01-12,512.3195,512.3195
100016,2022-01-13,510.2445,510.2445
100016,2022-01-14,514.3636,514.3636
100016,2022-01-17,514.7627,514.7627
100016,2022-01-18,517.3803,517.3803
100016,2022-01-19,513.1866,513.1866
100016,2022-01-20,507.1294,507.1294
100016,2022-01-21,507.871,507.871
100016,2022-01-24,506.7062,506.7062
100016,2022-01-25,509.7762,509.7762
100016,2022-01-26,509.68,509.68
100016,2022-01-27,510.8661,510.8661
100016,2022-01-28,503.8641,503.8641
100016,2022-01-31,512.5903,512.5903
100016,2022-02-01,512.1124,512.1124
100016,2022-02-02,515.5386,515.5386
100016,2022-02-03,512.0153,512.0153
100016,2022-02-04,513.6729,513.6729
100016,2022-02-07,508.0666,508.0666
100016,2022-02-08,510.3595,510.3595
100016,2022-02-09,509.0223,509.0223
100016,2022-02-10,509.4161,509.4161
100016,2022-02-11,512.826,512.826
100016,2022-02-14,507.5435,507.5435
100016,2022-02-15,504.7492,504.7492
100016,2022-02-16,507.0506,507.0506
100016,2022-02-17,516.7872,516.7872
100016,2022-02-18,516.4246,516.4246
100016,2022-02-21,519.3918,519.3918
100016,2022-02-22,519.1698,519.1698
100016,2022-02-23,528.4118,528.4118
100016,2022-02-24,520.6004,520.6004
100016,2022-02-25,521.3038,521.3038
100016,2022-02-28,514.1489,514.1489
100016,2022-03-01,503.1674,503.1674
100016,2022-03-02,504.7495,504.7495
100016,2022-03-03,505.6316,505.6316
100016,2022-03-04,504.6233,504.6233
100016,2022-03-07,504.411,504.411
100016,2022-03-08,518.6513,518.6513
100016,2022-03-09,517.7387,517.7387
100016,2022-03-10,520.3416,520.3416
100016,2022-03-11,517.6372,517.6372
100016,2022-03-14,519.2545,519.2545
100016,2022-03-15,518.432,518.432
100016,2022-03-16,516.825,516.825
100016,2022-03-17,525.4534,525.4534
100016,2022-03-18,531.2109,531.2109
100016,2022-03-21,532.1264,532.1264
100016,2022-03-22,521.6911,521.6911
100016,2022-03-23,520.3011,520.3011
100016,2022-03-24,533.1283,533.1283
100016,2022-03-25,532.3194,532.3194
100016,2022-03-28,537.8012,537.8012
100016,2022-03-29,544.965,544.965
100016,2022-03-30,546.3002,546.3002
100016,2022-03-31,542.5392,542.5392
100016,2022-04-01,531.285,531.285
100016,2022-04-04,534.7762,534.7762
100016,2022-04-05,531.2213,531.2213
100016,2022-04-06,532.3217,532.3217
100016,2022-04-07,526.7582,526.7582
100016,2022-04-08,525.7986,525.7986
100016,2022-04-11,526.2264,526.2264
100016,2022-04-12,527.7466,527.7466
100016,2022-04-13,522.8529,522.8529
100016,2022-04-14,528.6739,528.6739
100016,2022-04-15,526.1696,526.1696
100016,2022-04-18,518.7241,518.7241
100016,2022-04-19,518.493,518.493
100016,2022-04-20,518.9178,518.9178
100016,2022-04-21,519.9214,519.9214
100016,2022-04-22,526.4763,526.4763
100016,2022-04-25,525.6507,525.6507
100016,2022-04-26,525.3674,525.3674
100016,2022-04-27,520.5493,520.5493
100016,2022-04-28,524.6005,524.6005
100016,2022-04-29,525.7251,525.7251
100016,2022-05-02,524.0515,524.0515
100016,2022-05-03,515.5881,515.5881
100016,2022-05-04,522.4674,522.4674
100016,2022-05-05,517.1078,517.1078
100016,2022-05-06,514.6837,514.6837
100016,2022-05-09,516.5793,516.5793
100016,2022-05-10,511.4204,511.4204
100016,2022-05-11,504.9889,504.9889
100016,2022-05-12,495.8735,495.8735
100016,2022-05-13,499.2941,499.2941
100016,2022-05-16,497.1556,497.1556
100016,2022-05-17,510.4206,510.4206
100016,2022-05-18,506.2251,506.2251
100016,2022-05-19,502.3871,502.3871
100016,2022-05-20,500.1462,500.1462
100016,2022-05-23,501.4785,501.4785
100016,2022-05-24,499.6609,499.6609
100016,2022-05-25,502.6257,502.6257
100016,2022-05-26,498.5637,498.5637
100016,2022-05-27,492.78,492.78
100016,2022-05-30,485.277,485.277
100016,2022-05-31,476.0989,476.0989
100016,2022-06-01,474.1732,474.1732
100016,2022-06-02,473.1602,473.1602
100016,2022-06-03,470.7754,470.7754
100016,2022-06-06,476.2119,476.2119
100016,2022-06-07,481.6458,481.6458
100016,2022-06-08,480.4735,480.4735
100016,2022-06-09,473.1759,473.1759
100016,2022-06-10,471.0598,471.0598
100016,2022-06-13,468.8163,468.8163
100016,2022-06-14,466.3477,466.3477
100016,2022-06-15,463.7261,463.7261
100016,2022-06-16,461.2993,461.2993
100016,2022-06-17,459.9666,459.9666
100016,2022-06-20,457.6317,457.6317
100016,2022-06-21,458.7099,458.7099
100016,2022-06-22,460.4075,460.4075
100016,2022-06-23,456.9604,456.9604
100016,2022-06-24,462.3501,462.3501
100016,2022-06-27,458.6076,458.6076
100016,2022-06-28,452.344,452.344
100016,2022-06-29,454.0998,454.0998
100016,2022-06-30,451.0707,451.0707
100016,2022-07-01,452.584,452.584
100016,2022-07-04,443.3196,443.3196
100016,2022-07-05,449.0289,449.0289
100016,2022-07-06,451.9322,451.9322
100016,2022-07-07,446.2213,446.2213
100016,2022-07-08,440.6669,440.6669
100016,2022-07-11,447.4448,447.4448
100016,2022-07-12,444.7739,444.7739
100016,2022-07-13,441.7416,441.7416
100016,2022-07-14,433.2246,433.2246
100016,2022-07-15,432.1093,432.1093
100016,2022-07-18,431.4649,431.4649
100016,2022-07-19,434.4201,434.4201
100016,2022-07-20,429.3142,429.3142
100016,2022-07-21,423.8151,423.8151
100016,2022-07-22,425.7236,425.7236
100016,2022-07-25,429.7419,429.7419
100016,2022-07-26,424.047,424.047
100016,2022-07-27,428.3319,428.3319
100016,2022-07-28,428.6948,428.6948
100016,2022-07-29,433.0659,433.0659
100016,2022-08-01,433.0211,433.0211
100016,2022-08-02,423.7137,423.7137
100016,2022-08-03,423.3646,423.3646
100016,2022-08-04,427.5619,427.5619
100016,2022-08-05,424.424,424.424
100016,2022-08-08,423.1925,423.1925
100016,2022-08-09,422.7537,422.7537
100016,2022-08-10,412.293,412.293
100016,2022-08-11,418.6311,418.6311
100016,2022-08-12,415.5307,415.5307
100016,2022-08-15,417.6036,417.6036
100016,2022-08-16,417.4997,417.4997
100016,2022-08-17,422.3739,422.3739
100016,2022-08-18,424.1079,424.1079
100016,2022-08-19,423.4485,423.4485
100016,2022-08-22,420.3416,420.3416
100016,2022-08-23,423.5281,423.5281
100016,2022-08-24,416.803,416.803
100016,2022-08-25,419.4003,419.4003
100016,2022-08-26,415.5691,415.5691
100016,2022-08-29,420.401,420.401
100016,2022-08-30,421.2166,421.2166
100016,2022-08-31,423.8348,423.8348
100016,2022-09-01,424.3603,424.3603
100016,2022-09-02,418.068,418.068
100016,2022-09-05,415.1206,415.1206
100016,2022-09-06,417.805,417.805
100016,2022-09-07,418.6355,418.6355
100016,2022-09-08,423.2368,423.2368
100016,2022-09-09,424.9639,424.9639
100016,2022-09-12,421.5737,421.5737
100016,2022-09-13,418.8403,418.8403
100016,2022-09-14,419.437,419.437
100016,2022-09-15,411.1759,411.1759
100016,2022-09-16,417.5046,417.5046
100016,2022-09-19,419.3505,419.3505
100016,2022-09-20,424.1319,424.1319
100016,2022-09-21,418.4765,418.4765
100016,2022-09-22,423.3133,423.3133
100016,2022-09-23,431.9494,431.9494
100016,2022-09-26,427.1671,427.1671
100016,2022-09-27,430.305,430.305
100016,2022-09-28,430.5313,430.5313
100016,2022-09-29,424.9261,424.9261
100016,2022-09-30,426.9974,426.9974
100016,2022-10-03,430.3701,430.3701
100016,2022-10-04,428.3154,428.3154
100016,2022-10-05,432.9656,432.9656
100016,2022-10-06,426.8679,426.8679
100016,2022-10-07,421.495,421.495
100016,2022-10-10,422.2208,422.2208
100016,2022-10-11,422.5333,422.5333
100016,2022-10-12,420.0881,420.0881
100016,2022-10-13,423.3166,423.3166
100016,2022-10-14,425.5227,425.5227
100016,2022-10-17,428.9765,428.9765
100016,2022-10-18,428.7321,428.7321
100016,2022-10-19,431.2389,431.2389
100016,2022-10-20,429.769,429.769
100016,2022-10-21,437.8501,437.8501
100016,2022-10-24,434.9481,434.9481
100016,2022-10-25,443.3278,443.3278
100016,2022-10-26,443.6931,443.6931
100016,2022-10-27,438.5694,438.5694
100016,2022-10-28,444.122,444.122
100016,2022-10-31,444.8448,444.8448
100016,2022-11-01,448.4277,448.4277
100016,2022-11-02,453.5279,453.5279
100016,2022-11-03,455.1164,455.1164
100016,2022-11-04,452.9791,452.9791
100016,2022-11-07,457.1295,457.1295
100016,2022-11-08,457.3685,457.3685
100016,2022-11-09,460.3808,460.3808
100016,2022-11-10,451.9519,451.9519
100016,2022-11-11,453.9711,453.9711
100016,2022-11-14,451.6546,451.6546
100016,2022-11-15,458.5248,458.5248
100016,2022-11-16,461.2893,461.2893
100016,2022-11-17,462.5046,462.5046
100016,2022-11-18,464.7322,464.7322
100016,2022-11-21,460.8957,460.8957
100016,2022-11-22,467.7825,467.7825
100016,2022-11-23,476.316,476.316
100016,2022-11-24,478.216,478.216
100016,2022-11-25,485.221,485.221
100016,2022-11-28,483.0407,483.0407
100016,2022-11-29,479.9044,479.9044
100016,2022-11-30,480.3253,480.3253
100016,2022-12-01,482.4201,482.4201
100016,2022-12-02,480.9949,480.9949
100016,2022-12-05,483.5309,483.5309
100016,2022-12-06,485.0894,485.0894
100016,2022-12-07,481.0854,481.0854
100016,2022-12-08,483.5409,483.5409
100016,2022-12-09,487.4889,487.4889
100016,2022-12-12,488.4785,488.4785
100016,2022-12-13,493.7241,493.7241
100016,2022-12-14,488.7036,488.7036
100016,2022-12-15,490.9778,490.9778
100016,2022-12-16,486.1873,486.1873
100016,2022-12-19,481.6822,481.6822
100016,2022-12-20,479.2566,479.2566
100016,2022-12-21,475.5366,475.5366
100016,2022-12-22,473.4881,473.4881
100016,2022-12-23,472.8386,472.8386
100016,2022-12-26,476.5883,476.5883
100016,2022-12-27,475.4855,475.4855
100016,2022-12-28,469.1246,469.1246
100016,2022-12-29,474.1097,474.1097
100016,2022-12-30,470.8654,470.8654
100016,2023-01-02,470.8644,470.8644
100016,2023-01-03,472.9663,472.9663
100016,2023-01-04,474.0441,474.0441
100016,2023-01-05,478.8877,478.8877
100016,2023-01-06,481.1631,481.1631
100016,2023-01-09,477.7684,477.7684
100016,2023-01-10,487.2879,487.2879
100016,2023-01-11,488.3757,488.3757
100016,2023-01-12,487.9931,487.9931
100016,2023-01-13,492.4132,492.4132
100016,2023-01-16,493.7523,493.7523
100016,2023-01-17,495.7495,495.7495
100016,2023-01-18,507.0277,507.0277
100016,2023-01-19,506.06,506.06
100016,2023-01-20,504.9042,504.9042
